date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:21	100007/100007	---MCZ	200	added ('OK')	text/css	etag:W/%22ac482e73a9fb7f4a51fbfa611af53730%22	https://findrealestate.com/_next/static/css/2e532af035d014b7.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/2e532af035d014b7dbbc.css	(from https://findrealestate.com/)
22:49:21	2333/2333	---MCZ	200	added ('OK')	text/css	etag:W/%2267a97f7fa842f0b2c6d77a5f99756fed%22	https://findrealestate.com/_next/static/css/b5b2aff2d516d26f.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/b5b2aff2d516d26fdbbc.css	(from https://findrealestate.com/)
22:49:22	4772/4772	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cafcbb99fb27e795e73ac5833a2a9400%22	https://findrealestate.com/_next/static/chunks/webpack-3c9814a8f9cf3164.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/webpack-3c9814a8f9cf3164dbbc.js	(from https://findrealestate.com/)
22:49:24	173025/173025	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a9c2166a0ae63c27a466c7fb5903d80%22	https://findrealestate.com/_next/static/chunks/4bd1b696-100b9d70ed4e49c1.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/4bd1b696-100b9d70ed4e49c1dbbc.js	(from https://findrealestate.com/)
22:49:25	172861/172861	---MCZ	200	added ('OK')	application/javascript	etag:W/%22445fd11701b29e7bd773774f6d398146%22	https://findrealestate.com/_next/static/chunks/1255-9b910cf8efc45f15.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/1255-9b910cf8efc45f15dbbc.js	(from https://findrealestate.com/)
22:49:25	572/572	---M--	200	added ('OK')	application/javascript	etag:%220fc1ed37eaa6fb7baefe57842e38a2fb%22	https://findrealestate.com/_next/static/chunks/main-app-b7ac91ae224968d9.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/main-app-b7ac91ae224968d9dbbc.js	(from https://findrealestate.com/)
22:49:27	51343/51343	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c55d45ed2f331ebd2c14d9ac1507b30%22	https://findrealestate.com/_next/static/chunks/c15bf2b0-1894ff94ed039d0f.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/c15bf2b0-1894ff94ed039d0fdbbc.js	(from https://findrealestate.com/)
22:49:27	18735/18735	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f9e8a021114ca37d33aed3c7b2a15250%22	https://findrealestate.com/_next/static/chunks/7605-e8c59d9d93203c75.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/7605-e8c59d9d93203c75dbbc.js	(from https://findrealestate.com/)
22:49:28	42938/42938	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253bf2fb6a7a37df54f860a878947aed0%22	https://findrealestate.com/_next/static/chunks/5580-a4808b0cf38336a6.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/5580-a4808b0cf38336a6dbbc.js	(from https://findrealestate.com/)
22:49:29	10572/10572	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f2c4a9d50e447187ba0733da858599b%22	https://findrealestate.com/_next/static/chunks/3467-0a1129a8e91961ea.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/3467-0a1129a8e91961eadbbc.js	(from https://findrealestate.com/)
22:49:30	41628/41628	---MCZ	200	added ('OK')	application/javascript	etag:W/%2248d0b2074f345dc58681aa6cdd3a807e%22	https://findrealestate.com/_next/static/chunks/9536-bb6e02fee2725720.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/9536-bb6e02fee2725720dbbc.js	(from https://findrealestate.com/)
22:49:31	4288/4288	---MCZ	200	added ('OK')	application/javascript	etag:W/%2245697cefff4a81a83446f53189563955%22	https://findrealestate.com/_next/static/chunks/app/layout-afddd655165b81ad.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/app/layout-afddd655165b81addbbc.js	(from https://findrealestate.com/)
22:49:32	6369/6369	---MCZ	200	added ('OK')	application/javascript	etag:W/%227846553b02e045ccc54e38870a5f3765%22	https://findrealestate.com/_next/static/chunks/1207-c5b2738d9f9af787.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/1207-c5b2738d9f9af787dbbc.js	(from https://findrealestate.com/)
